"Reference","Value","Footprint","Datasheet","DIGIKEY_PART","MANUFACTURER","MPN","Qty"
"C1","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","1276-1043-2-ND","Samsung Electro-Mechanics","CL05A104KA5NNNC","1"
"C2","1uF","Capacitor_SMD:C_0402_1005Metric","~","1276-1076-2-ND","Samsung Electro-Mechanics","CL05A105KP5NNNC","1"
"D1","POWER","LED_SMD:LED_0603_1608Metric","~","160-1447-2-ND","Lite-on Inc","LTST-C191KRKT","1"
"D2","TRIG","LED_SMD:LED_0603_1608Metric","~","160-1446-2-ND","Lite-on Inc","LTST-C191KGKT","1"
"J1","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","1"
"J2","Conn_01x05_Pin","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","1"
"JP1","WOS","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm","~","","","","1"
"JP2","THRES","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm","~","","","","1"
"JP3","POWER_EN","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm","~","","","","1"
"JP4","TRIG_EN","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm","~","","","","1"
"MK1","PMM-3738-VM1010-R","PMM-3738-VM1010-R:MIC_PMM-3738-VM1010-R","","668-1585-2-ND","PUI Audio","PMM-3738-VM1010-R","1"
"R1","2.2k","Resistor_SMD:R_0402_1005Metric","~","YAG3536TR-ND","YAGEO","AC0402JR-072K2L","1"
"R2","20k","Resistor_SMD:R_0402_1005Metric","~","YAG1388TR-ND","YAGEO","RT0402BRD0720KL","1"
"R3, R4","1k","Resistor_SMD:R_0402_1005Metric","~","YAG2306TR-ND","YAGEO","RT0402BRE071KL","2"
"S1","EVPBB4A9B000","SW_EVPBB4A9B000","","P19888CT-ND","Panasonic Electronic","EVPBB4A9B000","1"
"U1","2N7002PW,115","2N7002PW_115:SOT65P210X110-3N","","1727-4793-2-ND","Nexperia USA Inc.","2N7002PW,115","1"
